,rindex,nif,produtos_all,produtos,grupos,total
0,0,14182956,"[147, 163, 161, 65, 37, 35, 18, 17, 104, 100, 85, 83, 120, 49, 48, 109, 103, 34, 33, 144, 143, 79, 62, 61, 75, 159, 15]","[147, 163, 161, 65, 37, 35, 18, 17, 104, 100, 85, 83, 120, 49, 48, 109, 103, 34, 33, 144, 143, 79, 62, 61, 75, 159, 15]","[18, 23, 6, 5, 4, 3, 12, 9, 15, 17, 8]",73.2
1,1,11858451,"[147, 122, 80, 59, 56, 55, 163, 162, 160, 159, 156, 9, 19, 16, 91, 88, 85, 133, 33, 51, 32, 81, 48, 155, 15]","[147, 122, 80, 59, 56, 55, 163, 162, 160, 159, 156, 9, 19, 16, 91, 88, 85, 133, 33, 51, 32, 81, 48, 155, 15]","[18, 15, 9, 6, 5, 23, 2, 3, 11, 10, 17, 4]",74.4
2,2,17660137,"[147, 138, 122, 97, 80, 35, 20, 18, 4, 34, 96, 158, 156, 153, 133, 17, 121, 51, 49, 47, 45, 41, 40, 36, 79, 74, 151, 148, 128, 26, 13]","[147, 138, 122, 97, 80, 35, 20, 18, 4, 34, 96, 158, 156, 153, 133, 17, 121, 51, 49, 47, 45, 41, 40, 36, 79, 74, 151, 148, 128, 26, 13]","[18, 17, 15, 11, 9, 4, 3, 1, 23, 22, 5, 8, 20, 19, 16, 2]",142.7
3,3,11031976,"[137, 105, 65, 128, 127, 90, 89, 88, 87, 7, 18, 4, 148, 62, 85, 48, 42, 40, 39, 33, 26, 82, 69, 75, 158, 157, 155, 74, 125, 57, 38, 25]","[137, 105, 65, 128, 127, 90, 89, 88, 87, 7, 18, 4, 148, 62, 85, 48, 42, 40, 39, 33, 26, 82, 69, 75, 158, 157, 155, 74, 125, 57, 38, 25]","[17, 13, 6, 16, 11, 10, 2, 3, 1, 19, 9, 5, 4, 7, 8, 23]",62.1
4,4,15202769,"[147, 101, 98, 80, 52, 37, 34, 29, 28, 26, 25, 6, 18, 17, 93, 92, 88, 85, 81, 61, 15, 163, 161, 57, 49, 46, 41, 148, 118, 39, 36, 24]","[147, 101, 98, 80, 52, 37, 34, 29, 28, 26, 25, 6, 18, 17, 93, 92, 88, 85, 81, 61, 15, 163, 161, 57, 49, 46, 41, 148, 118, 39, 36, 24]","[18, 12, 9, 5, 4, 3, 1, 11, 10, 6, 23, 19, 15]",85.3
5,5,15143296,"[147, 147, 132, 80, 67, 65, 52, 32, 26, 49, 48, 42, 21, 18, 17, 130, 129, 96, 95, 39, 64, 156, 121, 103, 124, 123, 148, 155, 25, 150, 80, 36]","[147, 132, 80, 67, 65, 52, 32, 26, 49, 48, 42, 21, 18, 17, 130, 129, 96, 95, 39, 64, 156, 121, 103, 124, 123, 148, 155, 25, 150, 36]","[18, 16, 9, 6, 5, 4, 3, 11, 23, 15, 12, 19, 20]",122.4
6,6,13357297,"[142, 134, 92, 90, 85, 84, 81, 97, 80, 64, 73, 52, 53, 35, 34, 29, 47, 40, 38, 9, 5, 18, 4, 133, 26, 114, 156]","[142, 134, 92, 90, 85, 84, 81, 97, 80, 64, 73, 52, 53, 35, 34, 29, 47, 40, 38, 9, 5, 18, 4, 133, 26, 114, 156]","[17, 11, 9, 6, 8, 5, 4, 3, 2, 1, 15, 23]",67.5
7,7,10964247,"[147, 102, 101, 80, 53, 37, 19, 18, 16, 156, 152, 3, 15, 64, 74, 57, 128, 127, 165, 48, 47, 26, 25, 42, 108, 144, 94]","[147, 102, 101, 80, 53, 37, 19, 18, 16, 156, 152, 3, 15, 64, 74, 57, 128, 127, 165, 48, 47, 26, 25, 42, 108, 144, 94]","[18, 12, 9, 5, 3, 23, 21, 1, 6, 8, 16, 24, 15, 17, 11]",395.3
8,8,15726469,"[137, 97, 80, 53, 37, 42, 161, 160, 158, 114, 100, 96, 156, 90, 87, 164, 146, 79, 73, 35, 34, 32, 26, 4, 15, 25, 24, 149, 136, 111, 148, 127, 165]","[137, 97, 80, 53, 37, 42, 161, 160, 158, 114, 100, 96, 156, 90, 87, 164, 146, 79, 73, 35, 34, 32, 26, 4, 15, 25, 24, 149, 136, 111, 148, 127, 165]","[17, 11, 9, 5, 23, 15, 12, 10, 24, 8, 4, 3, 1, 19, 16]",1079.5
9,9,16108259,"[147, 105, 67, 51, 47, 46, 44, 42, 40, 33, 64, 62, 73, 133, 131, 130, 160, 88, 82, 59, 11, 18, 32, 29, 99, 42, 39, 143, 156, 150, 1]","[147, 105, 67, 51, 47, 46, 44, 42, 40, 33, 64, 62, 73, 133, 131, 130, 160, 88, 82, 59, 11, 18, 32, 29, 99, 39, 143, 156, 150, 1]","[18, 13, 6, 5, 4, 8, 17, 16, 23, 10, 9, 2, 3, 12, 20, 1]",97.1
10,10,11311703,"[147, 138, 65, 26, 93, 90, 48, 42, 39, 159, 87, 86, 85, 84, 150, 60, 22, 12, 130, 148, 109, 83, 149, 99, 57]","[147, 138, 65, 26, 93, 90, 48, 42, 39, 159, 87, 86, 85, 84, 150, 60, 22, 12, 130, 148, 109, 83, 149, 99, 57]","[18, 17, 6, 3, 11, 5, 23, 10, 9, 20, 2, 16, 19, 15, 12]",64.0
11,11,10421000,"[147, 105, 80, 73, 114, 112, 37, 18, 1, 100, 129, 128, 93, 88, 156, 151, 86, 148, 49, 124, 150, 38]","[147, 105, 80, 73, 114, 112, 37, 18, 1, 100, 129, 128, 93, 88, 156, 151, 86, 148, 49, 124, 150, 38]","[18, 13, 9, 8, 15, 5, 3, 1, 12, 16, 11, 10, 23, 20, 19]",40.4
12,12,11953655,"[157, 154, 106, 97, 80, 52, 7, 19, 18, 16, 15, 119, 103, 79, 61, 133, 131, 130, 34, 42, 1, 147, 150, 25, 24, 16, 95, 90, 84, 81, 148, 40, 149, 13, 54, 12]","[157, 154, 106, 97, 80, 52, 7, 19, 18, 16, 15, 119, 103, 79, 61, 133, 131, 130, 34, 42, 1, 147, 150, 25, 24, 95, 90, 84, 81, 148, 40, 149, 13, 54, 12]","[23, 13, 11, 9, 5, 2, 3, 15, 12, 6, 17, 16, 4, 1, 18, 20, 19]",83.6
13,13,10524985,"[142, 147, 134, 37, 35, 32, 24, 13, 89, 88, 81, 50, 5, 17, 158, 155, 129, 47, 46, 111, 96, 127, 135, 61, 75]","[142, 147, 134, 37, 35, 32, 24, 13, 89, 88, 81, 50, 5, 17, 158, 155, 129, 47, 46, 111, 96, 127, 135, 61, 75]","[17, 18, 5, 4, 3, 2, 11, 10, 9, 1, 23, 16, 15, 6, 8]",54.3
14,14,18133600,"[98, 80, 79, 71, 35, 34, 109, 36, 81, 96, 17, 154]","[98, 80, 79, 71, 35, 34, 109, 36, 81, 96, 17, 154]","[12, 9, 7, 4, 15, 11, 3, 23]",38.1
