,ogFile,nif,products_all,products,groups,total
0,receipt_160000.txt,12843845,"[120, 133, 84, 81, 80, 27, 47, 61, 42, 37, 34, 106, 100, 99, 147, 131, 161, 158, 157, 136, 134, 25, 98, 71, 93, 92, 91, 90, 86, 6, 150, 41, 15, 130, 118]","[120, 133, 84, 81, 80, 27, 47, 61, 42, 37, 34, 106, 100, 99, 147, 131, 161, 158, 157, 136, 134, 25, 98, 71, 93, 92, 91, 90, 86, 6, 150, 41, 15, 130, 118]","[15, 17, 9, 3, 5, 6, 4, 13, 12, 18, 16, 23, 7, 11, 10, 1, 20]",93.3
1,receipt_160001.txt,11104447,"[148, 147, 156, 81, 53, 37, 93, 92, 80, 54, 19, 77, 34, 26, 39, 8, 134, 131, 18]","[148, 147, 156, 81, 53, 37, 93, 92, 80, 54, 19, 77, 34, 26, 39, 8, 134, 131, 18]","[19, 18, 23, 9, 5, 11, 3, 8, 4, 2, 17, 16]",43.0
2,receipt_160002.txt,11168301,"[133, 81, 80, 49, 64, 42, 29, 38, 36, 34, 33, 32, 26, 85, 147, 160, 158, 157, 156, 132, 24, 4, 19, 18, 79, 131, 128, 121, 17, 102, 151]","[133, 81, 80, 49, 64, 42, 29, 38, 36, 34, 33, 32, 26, 85, 147, 160, 158, 157, 156, 132, 24, 4, 19, 18, 79, 131, 128, 121, 17, 102, 151]","[17, 9, 5, 6, 3, 4, 18, 23, 16, 1, 15, 12, 20]",82.4
3,receipt_160003.txt,10846805,"[148, 76, 71, 69, 67, 57, 84, 53, 50, 49, 46, 90, 87, 34, 101, 100, 62, 44, 42, 24, 23, 147, 161, 32, 160, 122]","[148, 76, 71, 69, 67, 57, 84, 53, 50, 49, 46, 90, 87, 34, 101, 100, 62, 44, 42, 24, 23, 147, 161, 32, 160, 122]","[19, 8, 7, 6, 5, 9, 11, 10, 4, 12, 3, 18, 23, 15]",85.9
4,receipt_160004.txt,17358602,"[148, 115, 116, 95, 83, 93, 88, 84, 80, 38, 110, 108, 97, 147, 161, 159, 64, 87, 86, 47, 37, 36, 113, 25, 42, 76, 96, 41, 24, 18, 67]","[148, 115, 116, 95, 83, 93, 88, 84, 80, 38, 110, 108, 97, 147, 161, 159, 64, 87, 86, 47, 37, 36, 113, 25, 42, 76, 96, 41, 24, 18, 67]","[19, 15, 11, 9, 10, 5, 18, 23, 6, 4, 3, 8]",76.8
5,receipt_160005.txt,14210277,"[148, 133, 81, 80, 79, 147, 150, 76, 162, 160, 158, 156, 155, 154, 153, 135, 84, 36, 34, 24, 9, 94, 108, 103, 102, 124, 19, 18, 17, 49, 48, 100, 122, 134, 8, 1, 46, 42, 39, 33]","[148, 133, 81, 80, 79, 147, 150, 76, 162, 160, 158, 156, 155, 154, 153, 135, 84, 36, 34, 24, 9, 94, 108, 103, 102, 124, 19, 18, 17, 49, 48, 100, 122, 134, 8, 1, 46, 42, 39, 33]","[19, 17, 9, 18, 20, 8, 23, 22, 4, 3, 2, 11, 15, 12, 5, 1]",145.4
6,receipt_160006.txt,11318375,"[116, 95, 84, 81, 80, 54, 23, 19, 16, 111, 102, 147, 162, 132, 129, 74, 93, 87, 161, 158, 37, 35, 140, 52, 64, 130, 98, 155, 41, 96, 131, 150]","[116, 95, 84, 81, 80, 54, 23, 19, 16, 111, 102, 147, 162, 132, 129, 74, 93, 87, 161, 158, 37, 35, 140, 52, 64, 130, 98, 155, 41, 96, 131, 150]","[15, 11, 9, 5, 3, 12, 18, 23, 16, 8, 10, 4, 17, 6, 20]",72.6
7,receipt_160007.txt,14468443,"[133, 116, 109, 96, 81, 53, 27, 36, 24, 49, 147, 156, 48, 41, 28, 25, 18, 155, 137, 136, 16, 15, 13, 149]","[133, 116, 109, 96, 81, 53, 27, 36, 24, 49, 147, 156, 48, 41, 28, 25, 18, 155, 137, 136, 16, 15, 13, 149]","[17, 15, 11, 9, 5, 3, 4, 18, 23, 2, 19]",65.3
8,receipt_160008.txt,12596738,"[80, 37, 35, 34, 30, 105, 147, 159, 143, 157, 154, 149, 25, 4, 93, 65, 49, 46, 61, 43, 75, 99, 97, 150, 131, 67, 85, 18, 129, 2, 96]","[80, 37, 35, 34, 30, 105, 147, 159, 143, 157, 154, 149, 25, 4, 93, 65, 49, 46, 61, 43, 75, 99, 97, 150, 131, 67, 85, 18, 129, 2, 96]","[9, 5, 4, 3, 13, 18, 23, 17, 19, 1, 11, 6, 8, 12, 20, 16]",63.9
9,receipt_160009.txt,15571327,"[148, 95, 83, 51, 38, 27, 36, 162, 161, 142, 156, 155, 149, 49, 46, 34, 26, 87, 79, 102, 96, 45, 42, 18, 15, 39, 69, 9, 16]","[148, 95, 83, 51, 38, 27, 36, 162, 161, 142, 156, 155, 149, 49, 46, 34, 26, 87, 79, 102, 96, 45, 42, 18, 15, 39, 69, 9, 16]","[19, 11, 9, 5, 3, 4, 23, 17, 10, 12, 7, 2]",54.4
10,receipt_160010.txt,12721403,"[95, 80, 23, 17, 16, 25, 6, 91, 147, 159, 35, 15, 65, 60, 99, 42, 33, 30, 13, 2, 41, 70, 131]","[95, 80, 23, 17, 16, 25, 6, 91, 147, 159, 35, 15, 65, 60, 99, 42, 33, 30, 13, 2, 41, 70, 131]","[11, 9, 3, 1, 18, 23, 4, 6, 12, 5, 2, 7, 16]",59.0
